org,ada,type,issue_date,subject,doc_url
99221940,6ΘΜ646907Κ-ΓΞΓ,Γ.2,2023-12-18,"ΠΡΑΞΗ ΔΙΟΙΚΗΤΗ ΣΥΓΚΡΟΤΗΣΗΣ ΕΠΙΤΡΟΠΗΣ ΑΞΙΟΛΟΓΗΣΗΣ ΠΡΟΣΦΟΡΩΝ ΓΙΑ ΤΗΝ ΑΝΑΘΕΣΗ ΤΩΝ ΥΠΗΡΕΣΙΩΝ 'ΕΛΕΓΧΟΣ & ΥΠΟΓΡΑΦΗ ΙΣΟΛΟΓΙΣΜΟΥ ΧΡΗΣΗΣ 2023 ΑΠΟ ΟΡΚΩΤΟΥΣ ΛΟΓΙΣΤΕΣ, ΕΛΕΓ",https://diavgeia.gov.gr/doc/6ΘΜ646907Κ-ΓΞΓ
99221940,9ΟΗΕ46907Κ-576,Β.1.3,2023-12-14,"ΑΠΟΦΑΣΗ ΑΝΑΛΗΨΗΣ ΥΠΟΧΡΕΩΣΗΣ ΔΙΑΔΙΚΑΣΙΑΣ ΑΝΑΘΕΣΗΣ  ΥΠΗΡΕΣΙΩΝ  «ΕΛΕΓΧΟΣ ΚΑΙ ΥΠΟΓΡΑΦΗ ΤΟΥ ΙΣΟΛΟΓΙΣΜΟΥ ΧΡΗΣΗΣ 2023 ΑΠΟ ΟΡΚΩΤΟΥΣ ΛΟΓΙΣΤΕΣ»,«ΕΛΕΓΧΟΣ ΑΠΟΓΡΑΦΗΣ ΤΕΛΟΥΣ ",https://diavgeia.gov.gr/doc/9ΟΗΕ46907Κ-576
99221940,ΩΜΝΡ46907Κ-2ΣΝ,Β.3,2023-09-12,Ισολογισμός 2022,https://diavgeia.gov.gr/doc/ΩΜΝΡ46907Κ-2ΣΝ
99221940,Ψ4ΩΕ46907Κ-Κ0Κ,Β.3,2023-09-08,Τελική έγκριση ισολογισμού έτους 2022,https://diavgeia.gov.gr/doc/Ψ4ΩΕ46907Κ-Κ0Κ
99221940,ΨΙΧ446907Κ-ΩΛΓ,Β.3,2024-05-17,ΣΤΟΙΧΕΙΑ ΕΚΤΕΛΕΣΗΣ ΠΡΟΥΠΟΛΟΓΙΣΜΟΥ 4ος 2024.,https://diavgeia.gov.gr/doc/ΨΙΧ446907Κ-ΩΛΓ
99221940,9Ο5Α46907Κ-ΦΗΑ,Β.3,2024-04-15,ΣΤΟΙΧΕΙΑ ΕΚΤΕΛΕΣΗΣ ΠΡΟΥΠΟΛΟΓΙΣΜΟΥ 3ος 2024,https://diavgeia.gov.gr/doc/9Ο5Α46907Κ-ΦΗΑ
99221940,6Υ3Υ46907Κ-61Β,Β.3,2024-03-12,ΣΤΟΙΧΕΙΑ ΕΚΤΕΛΕΣΗΣ ΠΡΟΥΠΟΛΟΓΙΣΜΟΥ 2ος 2024,https://diavgeia.gov.gr/doc/6Υ3Υ46907Κ-61Β
99221940,608Θ46907Κ-ΧΘ4,Β.3,2024-02-15,ΣΤΟΙΧΕΙΑ ΕΚΤΕΛΕΣΗΣ ΠΡΟΥΠΟΛΟΓΙΣΜΟΥ ΙΑΝΟΥΑΡΙΟΣ 2024 Γ.Ν. ΡΟΔΟΥ,https://diavgeia.gov.gr/doc/608Θ46907Κ-ΧΘ4
99221940,9ΧΦΛ46907Κ-Ξ2Φ,Β.3,2024-10-20,ΣΤΟΙΧΕΙΑ ΕΚΤΕΛΕΣΗΣ ΠΡΟΥΠΟΛΟΓΙΣΜΟΥ 9ος 2024,https://diavgeia.gov.gr/doc/9ΧΦΛ46907Κ-Ξ2Φ
99221940,ΡΙΕ246907Κ-Ψ6Ο,Β.3,2024-09-16,ΣΤΟΙΧΕΙΑ ΕΚΤΕΛΕΣΗΣ ΠΡΟΥΠΟΛΟΓΙΣΜΟΥ 8ος 2024.,https://diavgeia.gov.gr/doc/ΡΙΕ246907Κ-Ψ6Ο
