ada,issue_date,subject,supplier_afm,supplier_name,recorded_amount,note
6ΞΖΦ4690ΒΛ-ΠΤ8,2022-05-04,ΠΡΟΜΗΘΕΙΑ ΥΓΕΙΟΝΟΜΙΚΟΥ ΥΛΙΚΟΥ,999213859,NEPHRODYNAMIC HELLAS ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΙΑΤΡΙΚΩΝ ΕΙΔΩΝ,999213859.00,amount equals supplier AFM - data-entry error
9ΙΕΑ4690ΒΛ-ΥΧΚ,2024-02-21,ΠΡΟΜΗΘΕΙΑ ΥΓΕΙΟΝΟΜΙΚΟΥ ΥΛΙΚΟΥ,099363426,ΒΕΡΜΑ ΝΤΡΑΓΚΣVERMA DRUGS ΑΝΩΝΥΜΗ ΒΙΟΜΗΧΑΝΙΚΗ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ ΦΑΡΜΑΚΩΝ,99363426.00,amount equals supplier AFM - data-entry error
68ΓΙ4690ΒΛ-ΗΕΒ,2024-12-02,ΠΡΟΜΗΘΕΙΑ ΟΡΘΟΠΕΔΙΚΩΝ ΠΡΟΣΘΕΤΙΚΩΝ & ΛΟΙΠΩΝ ΥΛΙΚΩΝ ΑΝΑΠΗΡΩ,801017983,Ε  ΡΑΦΤΟΠΟΥΛΟΥ ΕΕ,801017983.00,amount equals supplier AFM - data-entry error
ΨΨΝ14690ΒΛ-ΝΒΚ,2025-09-09,ΠΡΟΜΗΘΕΙΑ ΥΓΕΙΟΝΟΜΙΚΟΥ ΥΛΙΚΟΥ,800541285,IMPROVEMED ΕΜΠΟΡΙΑ ΚΑΙ ΔΙΑΘΕΣΗ ΙΑΤΡΙΚΩΝ ΕΙΔΩΝ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΙΑ PRIVATE COMPANY,800541285.00,amount equals supplier AFM - data-entry error
ΡΚΑΦ4690ΒΛ-Δ61,2026-06-15,ΥΓΕΙΟΝΟΜΙΚΟ ΥΛΙΚΟ ΤΡΕΧ.ΧΡΗΣΗΣ,099999477,Π ΚΑΛΑΘΙΑΝΑΚΗΣ ΕΜΠΟΡΙΑ ΕΙΣΑΓΩΓΕΣ ΚΑΙ ΕΞΑΓΩΓΕΣ ΝΟΣΟΚΟΜΕΙΑΚΩΝ ΕΙΔΩΝ ΕΠΕ,99999477.00,amount equals supplier AFM - data-entry error
937Δ4690ΒΛ-9ΤΧ,2026-04-16,ΥΓΕΙΟΝΟΜΙΚΟ ΥΛΙΚΟ ΠΡΟΗΓ. ΕΤΩΝ,099370337,VIOLAK INTERNATIONAL ΝΟΣΟΚΟΜΕΙΑΚΟΥ ΕΞΟΠΛΙΣΜΟΥ ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ,99370337.00,amount equals supplier AFM - data-entry error
Ρ6ΘΙ4690ΒΛ-ΗΛΨ,2026-03-03,ΥΓΕΙΟΝΟΜΙΚΟ ΥΛΙΚΟ ΠΡΟΗΓ. ΕΤΩΝ,800777790,INSIDE ΙΑΤΡΙΚΕΣ ΤΕΧΝΟΛΟΓΙΕΣ ΜΟΝΟΠΡΟΣΩΠΗ ΙΚΕ,800777790.00,amount equals supplier AFM - data-entry error
