ada,issue_date,subject,supplier_afm,supplier_name,recorded_amount,note
9ΗΒΛ4690Ω3-ΞΘΓ,2026-06-08,ΧΕ 1965Σ1,998656870,ΜΟΥΣΤΑΦΕΡΗΣ ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ  ΣΥΣΤΗΜΑΤΩΝ ΕΛΕΓΧΟΥ,998656870.00,amount equals supplier AFM - data-entry error
9ΖΜ84690Ω3-4ΡΦ,2026-03-16,ΧΕ 753Σ1,999600478,CSL BEHRING ΕΛΛΑΣ ΦΑΡΜΑΚΕΥΤΙΚH ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,999600478.00,amount equals supplier AFM - data-entry error
9Χ874690Ω3-3ΩΡ,2026-02-16,ΧΕ 201Σ1,094012336,ΠΦΑΙΖΕΡ ΕΛΛΑΣ ΑΝΩΝΥΜΗ ΒΙΟΜΗΧΑΝΙΚΗ ΚΑΙ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ ΦΑΡΜΑΚΕΥΤΙΚΩΝ ΠΡΟΙΟΝΤΩΝ ΚΑΙ ΚΤΗΝΟΤΡΟΦΩΝ,94012336.00,amount equals supplier AFM - data-entry error
