org,ada,issue_date,subject,award_amount,supplier_afm,supplier_name
99221986,6ΩΖΗ4690ΩΔ-Φ4Ν,2024-09-20,Αποφάσεις ΔΣ περί έγκρισης πρακτικών αξιολόγησης και οριστικής κατακύρωσης του υπ’ αριθμ. Δ31/2022  Δημόσιου Ανοικτού Ηλεκτρονικού Διαγωνισμού επαναπροκήρυξη του Ανοιχτού Ηλεκτρονικού διαγωνισμού για ,,,
99221986,9ΨΟΡ4690ΩΔ-4ΟΨ,2024-09-19,Αποφάσεις ΔΣ περί έγκρισης πρακτικών αξιολόγησης και οριστικής κατακύρωσης του υπ’ αριθμ. Δ17/2024 ΔΔ Διεθνούς Ανοικτού Ηλεκτρονικού Διαγωνισμού για την ανάδειξη αναδόχου για υπηρεσίες συντήρησης βιοϊ,,,
99221986,ΡΙ3Φ4690ΩΔ-ΑΑ7,2024-09-19,"Έγκριση του Πρακτικού Αξιολόγησης Προσφορών και κατακύρωσης αποτελέσματος της Δ30/2024 Α.Α. Πρόσκλησης εκδήλωσης ενδιαφέροντος αντί απευθείας ανάθεσης, σύμφωνα με το άρθρο 118 του Ν.4412/2016, για την",,,
99221986,ΨΣΞΘ4690ΩΔ-Ε0Γ,2024-09-10,Έγκριση του πρακτικού Αξιολόγησης Προσφοράς και της απευθείας ανάθεσης της Δ35/2024 Α.Α Πρόσκλησης εκδήλωσης ενδιαφέροντος σύμφωνα με το άρθρο 118 του N. 4412/2016 για την αναβάθμιση του συστήματος  ε,,,
99221986,ΨΡΛΜ4690ΩΔ-3ΘΝ,2024-09-10,Έγκριση του πρακτικού Αξιολόγησης Προσφορών και οριστικής κατακύρωσης της Δ34/2024 Α.Α. Πρόσκλησης εκδήλωσης ενδιαφέροντος αντί απευθείας ανάθεσης σύμφωνα με το άρθρο 118 του Ν.4412/2016 για την παροχ,,,
99221986,6Ν9Σ4690ΩΔ-ΘΘΣ,2024-09-10,ΕΓΚΡΙΣΗ ΠΡΑΚΤΙΚΩΝ Δ31/2023 ΔΙΑΓΩΝΙΣΜΟΥ ΓΙΑ ΤΗΝ ΠΡΟΜΗΘΕΙΑ ΕΙΔΙΚΩΝ ΠΡΩΤΕΙΝΩΝ,,,
99221986,6ΜΗΥ4690ΩΔ-ΛΨΖ,2024-09-05,Έγκριση υποκατάστασης αναδόχου της Σύμβασης του υπ’ αριθμ. Δ32/2022 Διεθνούς Ανοικτού Ηλεκτρονικού Διαγωνισμού για την προμήθεια Κοχλιακών Εμφυτευμάτων,,,
99221986,ΨΛΖ44690ΩΔ-ΗΡΔ,2024-09-05,"Έγκριση μεταβολής κατακύρωσης των Τμημάτων 5 & 6 του Δ16/2021 διεθνούς ανοικτού ηλεκτρονικού διαγωνισμού για την προμήθεια Υγειονομικού Υλικού και Μέσων Ατομικής Προστασίας (α/α ΕΣΗΔΗΣ: 133466,1 & 133",,,
99221986,ΡΧΜΞ4690ΩΔ-ΠΚ2,2025-06-15,Απόφαση έγκρισης των πρακτικών και κατακύρωσης του υπ’ αριθμ. Δ03/2024 Δημόσιου Ανοιχτού Ηλεκτρονικού διαγωνισμού για την προμήθεια δεκατεσσάρων (14) ηλεκτροχειρουργικών διαθερμιών,,,
99221986,6ΦΩΕ4690ΩΔ-Μ5Ξ,2025-06-13,Απόφαση έγκρισης των πρακτικών και κατακύρωσης του υπ’ αριθμ. Δ54/2024 Δημόσιου Ανοιχτού Ηλεκτρονικού διαγωνισμού για την προμήθεια μοσχευμάτων κερατοειδούς,,,
99221986,Ψ0ΩΓ4690ΩΔ-99Ι,2025-06-12,Απόφαση Διοικητή για την έγκριση του υπ΄ αριθμ. πρωτ. 23310/10-06-2025 Πρακτικού αξιολόγησης της προσφοράς που κατατέθηκε στο πλαίσιο της Δ28/2025 ΔΠΤ Πρόσκλησης σε διαδικασία διαπραγμάτευσης σύμφωνα ,,,
99221986,Ψ7094690ΩΔ-2ΓΗ,2025-06-03,"Απευθείας ανάθεση σύμφωνα με το άρθρο 118 του ν.4412/2016, στην εταιρεία ΑΚΑΔΗΜΑΪΚΟ ΔΙΑΔΙΚΤΥΟ (υπηρεσία: HARICA)",,,
99221986,6ΝΝΠ4690ΩΔ-0Α7,2025-06-03,Έγκριση του υπ΄ αριθμ. πρωτ. 19913/22-05-2025 Πρακτικού αξιολόγησης της προσφοράς που κατατέθηκε στο πλαίσιο της Δ23/2025 Α.Α. Πρόσκλησης για την απευθείας ανάθεση σύμφωνα με το άρθρο 118 του Ν.4412/2,22500.0,,
99221986,Ψ2ΘΚ4690ΩΔ-ΓΣΥ,2025-05-30,ΑΠΟΦΑΣΗ ΔΙΟΙΚΗΤΗ ΑΠΕΥΘΕΙΑΣ ΑΝΑΘΕΣΗ ΓΙΑ ΤΗΝ ΚΑΛΥΨΗ ΗΜΕΡΗΣΙΩΝ ΑΝΑΓΚΩΝ ΣΙΤΙΣΗΣ ΑΠΟ 3/6/25 ΩΣ 30/6/25 ΑΣΘΕΝΩΝ ΙΑΤΡΩΝ ΣΤΗΝ ΕΤΑΙΡΕΙΑ ΑΦΟΙ ΚΟΜΠΑΤΣΙΑΡΗ,,,
99221986,ΨΦΨΦ4690ΩΔ-Τ4Γ,2025-05-27,Έγκριση του υπ΄ αριθμ. πρωτ. 11250/18-03-2025 Πρακτικού αξιολόγησης της προσφοράς που κατατέθηκε στο πλαίσιο της Δ12/2025 ΔΠΤ Πρόσκλησης σε διαδικασία διαπραγμάτευσης σύμφωνα με τα άρθρα 32Α και 32 πα,,,
