org,ada,amount,median_org,flag,doc_url
99222001,63Ι646906Ω-Ξ0Φ,13510364.00,1512.80,>=5M,https://diavgeia.gov.gr/doc/63Ι646906Ω-Ξ0Φ
99221890,6Ο9Χ46904Ν-54Ε,2880100.00,3810.00,whole-euro>>med,https://diavgeia.gov.gr/doc/6Ο9Χ46904Ν-54Ε
99221887,Ψ4Η246904Α-ΞΓ2,2678192.00,946.55,whole-euro>>med,https://diavgeia.gov.gr/doc/Ψ4Η246904Α-ΞΓ2
99221900,ΨΔΩΧ4690Β6-Χ3Μ,2007971.00,916.36,whole-euro>>med,https://diavgeia.gov.gr/doc/ΨΔΩΧ4690Β6-Χ3Μ
99221483,96ΖΝ469ΗΔΧ-ΧΣΛ,1069500.00,1039.08,whole-euro>>med,https://diavgeia.gov.gr/doc/96ΖΝ469ΗΔΧ-ΧΣΛ
99221891,69ΙΤ46904Χ-40Α,987599.00,3565.99,whole-euro>>med,https://diavgeia.gov.gr/doc/69ΙΤ46904Χ-40Α
99222001,ΡΤΟΩ46906Ω-96Ρ,661440.00,1512.80,whole-euro>>med,https://diavgeia.gov.gr/doc/ΡΤΟΩ46906Ω-96Ρ
99221483,6ΝΥΨ469ΗΔΧ-ΖΦΔ,598920.00,1039.08,whole-euro>>med,https://diavgeia.gov.gr/doc/6ΝΥΨ469ΗΔΧ-ΖΦΔ
99222001,9Ψ6Φ46906Ω-Ν4Υ,538074.00,1512.80,whole-euro>>med,https://diavgeia.gov.gr/doc/9Ψ6Φ46906Ω-Ν4Υ
99222001,ΨΝ2Ε46906Ω-Γ06,531960.00,1512.80,whole-euro>>med,https://diavgeia.gov.gr/doc/ΨΝ2Ε46906Ω-Γ06
