ada,issue_date,subject,supplier_afm,supplier_name,recorded_amount,note
ΨΚ1Τ46907Κ-Α8Ω,2021-12-03,XE 1635 ΓΙΑ VIMATRONIX AE,800495854,VIMATRONIX ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΕΜΠΟΡΙΑ ΙΑΤΡΙΚΩΝ ΕΙΔΩΝ ΠΡΟΙΟΝΤΩΝ ΚΑΙ ΙΑΤΡΙΚΩΝ ΜΗΧΑΝΗΜΑΤΩΝ,800495854.00,amount equals supplier AFM - data-entry error
6Χ4Μ46907Κ-8Θ2,2025-09-19,GE HEALTHCARE,094472918,GE HEALTHCARE ΦΑΡΜΑΚΕΥΤΙΚΗ ΕΜΠΟΡΙΚΗ ΚΑΙ ΒΙΟΜΗΧΑΝΙΚΗ ΕΤΑΙΡΕΙΑ,94472918.00,amount equals supplier AFM - data-entry error
