ada,issue_date,subject,supplier_afm,supplier_name,reason
ΨΟΚΤ46907Κ-1ΣΧ,2021-12-01,ΜΙΣΘΟΔΟΣΙΑ ΕΠΙΣΤΗΜΟΝΙΚΟΥ ΠΡΟΣΩΠΙΚΟΥ ΓΕΝΙΚΟΥ ΝΟΣΟΚΟΜΕΙΟΥ ΡΟΔΟΥ ΜΗΝΟΣ ΝΟΕΜΒΡΙΟΥ 2021,999052193,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΡΟΔΟΥ ΑΝΔΡΕΑΣ ΠΑΠΑΝΔΡΕΟΥ,self-referential (payroll/EFKA/FMY remittance)
ΩΣ6Θ46907Κ-7ΓΟ,2021-12-01,ΜΙΣΘΟΔΟΣΙΑ ΕΠΙΣΤΗΜΟΝΙΚΟΥ ΠΡΟΣΩΠΙΚΟΥ ΓΕΝΙΚΟΥ ΝΟΣΟΚΟΜΕΙΟΥ     ΡΟΔΟΥ ΜΗΝΟΣ ΝΟΕΜΒΡΙΟΥ 2021,999052193,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΡΟΔΟΥ ΑΝΔΡΕΑΣ ΠΑΠΑΝΔΡΕΟΥ,self-referential (payroll/EFKA/FMY remittance)
ΩΣΘ046907Κ-72Ω,2021-12-01,ΜΙΣΘΟΔΟΣΙΑ ΕΠΙΚΟΥΡΙΚΟΥ ΠΡΟΣΩΠΙΚΟΥ ΓΕΝΙΚΟΥ ΝΟΣΟΚΟΜΕΙΟΥ ΡΟΔΟΥ ΜΗΝΟΣ ΝΟΕΜΒΡΙΟΥ 2021,999052193,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΡΟΔΟΥ ΑΝΔΡΕΑΣ ΠΑΠΑΝΔΡΕΟΥ,self-referential (payroll/EFKA/FMY remittance)
668Γ46907Κ-ΞΑΣ,2021-12-01,ΜΙΣΘΟΔΟΣΙΑ ΕΠΙΚΟΥΡΙΚΟΥ ΠΡΟΣΩΠΙΚΟΥ ΓΕΝΙΚΟΥ ΝΟΣΟΚΟΜΕΙΟΥ ΡΟΔΟΥ ΜΗΝΟΣ ΝΟΕΜΒΡΙΟΥ 2021,999052193,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΡΟΔΟΥ ΑΝΔΡΕΑΣ ΠΑΠΑΝΔΡΕΟΥ,self-referential (payroll/EFKA/FMY remittance)
6Ω0Ψ46907Κ-ΡΩ5,2021-12-01,ΑΠΟΖΗΜΙΩΣΗ ΣΠΟΥΔΑΣΤΩΝ ΤΕΙ ΓΕΝΙΚΟΥ ΝΟΣΟΚΟΜΕΙΟΥ ΡΟΔΟΥ ΜΗΝΟΣ ΝΟΕΜΒΡΙΟΥ 2021,999052193,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΡΟΔΟΥ ΑΝΔΡΕΑΣ ΠΑΠΑΝΔΡΕΟΥ,self-referential (payroll/EFKA/FMY remittance)
6Φ2Υ46907Κ-ΗΜΖ,2021-12-01,ΜΙΣΘΟΔΟΣΙΑ ΥΠΑΛΛΗΛΩΝ ΣΟΧ ΓΕΝΙΚΟΥ ΝΟΣΟΚΟΜΕΙΟΥ ΡΟΔΟΥ ΜΗΝΟΣ ΝΟΕΜΒΡΙΟΥ 2021,999052193,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΡΟΔΟΥ ΑΝΔΡΕΑΣ ΠΑΠΑΝΔΡΕΟΥ,self-referential (payroll/EFKA/FMY remittance)
ΨΠ0446907Κ-7ΕΧ,2021-12-01,ΜΙΣΘΟΔΟΣΙΑ ΠΡΟΓΡΑΜΜΑΤΟΣ ΟΑΕΔ 55-67 ΕΤΩΝ ΓΕΝΙΚΟΥ ΝΟΣΟΚΟΜΕΙΟΥ ΡΟΔΟΥ ΜΗΝΟΣ ΝΟΕΜΒΡΙΟΥ 2021,999052193,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΡΟΔΟΥ ΑΝΔΡΕΑΣ ΠΑΠΑΝΔΡΕΟΥ,self-referential (payroll/EFKA/FMY remittance)
ΩΗ2Τ46907Κ-ΓΦΥ,2021-12-01,ΑΠΟΖΗΜΊΩΣΉ ΑΝΤΙΡΡΗΣΙΩΝ ΣΥΝΕΙΔΗΣΗΣ  ΓΕΝΙΚΟΥ ΝΟΣΟΚΟΜΕΙΟΥ ΡΟΔΟΥ ΜΗΝΟΣ ΝΟΕΜΒΡΙΟΥ 2021,999052193,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΡΟΔΟΥ ΑΝΔΡΕΑΣ ΠΑΠΑΝΔΡΕΟΥ,self-referential (payroll/EFKA/FMY remittance)
679Α46907Κ-ΚΚΟ,2021-12-01,ΜΙΣΘΟΔΟΣΙΑ ΕΠΙΚΟΥΡΙΚΩΝ ΓΙΑΤΡΩΝ ΓΕΝΙΚΟΥ ΝΟΣΟΣΚΟΜΕΙΟΥ ΡΟΔΟΥ ΜΗΝΟΣ ΝΟΕΜΒΡΙΟΥ 2021,999052193,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΡΟΔΟΥ ΑΝΔΡΕΑΣ ΠΑΠΑΝΔΡΕΟΥ,self-referential (payroll/EFKA/FMY remittance)
63Ε146907Κ-7ΚΡ,2021-11-30,ΑΠΟΔΟΣΗ ΕΡΓΟΔΟΤΙΚΩΝ ΕΙΣΦΟΡΩΝ ΣΤΟΝ ΕΦΚΑ ΑΠΟ ΤΑΚΤΙΚΗ ΜΙΣΘΟΔΟΣΙΑ ΚΟΙΝΟΦΕΛΩΝ ΠΡΟΓΡΑΜΜΑΤΩΝ ΟΑΕΔ ΓΕΝΙΚΟΥ ΝΟΣΟΚΟΜΕΙΟΥ  ΡΟΔΟΥ ΜΗΝΟΣ ΟΚΤΩΒΡΙΟΥ 2021,999052193,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΡΟΔΟΥ ΑΝΔΡΕΑΣ ΠΑΠΑΝΔΡΕΟΥ,self-referential (payroll/EFKA/FMY remittance)
6ΞΡΓ46907Κ-Β9Μ,2021-11-30,ΑΠΟΔΟΣΗ ΦΜΥ ΑΠΟ ΤΑΚΤΙΚΗ ΜΙΣΘΟΔΟΣΙΑ ΚΟΙΝΟΦΕΛΩΝ ΠΡΟΓΡΑΜΜΑΤΩΝ ΟΕΑΔ ΓΕΝΙΚΟΥ ΝΟΣΟΚΟΜΕΙΟΥ ΡΟΔΟΥ ΜΗΝΟΣ ΟΚΤΩΒΡΙΟΥ 2021,999052193,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΡΟΔΟΥ ΑΝΔΡΕΑΣ ΠΑΠΑΝΔΡΕΟΥ,self-referential (payroll/EFKA/FMY remittance)
